percentage,color,drug,race,racepercent,racecolor,cit,citpercent,citcolor,Drug,Male,Female
9.1, #dda1a9, Marijuana,White,24.2,#91BC7F,U.S. Citizen,76,#414063,Total,12011,946
7.6, #d58994, Heroin,Black,34.4,#6E8E5E,Non-Citizen,24,#8D7097,Cocaine,3374,154
20.5, #cd727f, Crack Cocaine,Hispanic,38.4,#4A5E40,,,,Crack-Cocaine,2539,119
27.2, #bc4254, Powder Cocaine,Other,3,#ACCD9D,,,,Heroin,905,78
30.9, #6D2415, Methamphetamine,,,,,,,Marijuana,1129,48
4.7, #e6b8bf, Oxycontin & Others,,,,,,,Methamphetamine,3517,481
,,,,,,,,,Oxycontin & Others,547,66
